### Cluster 50 — Symptoms (107)
Symptom,Frequency 
roughness of voice,bruised pain in elbow joints,1.0,1
roughness of voice,stiffness of back,1.0,1
roughness of voice,aching pain from loins to coccyx,1.0,1
roughness of voice,cramps in soles evenings after lying down,1.0,1
roughness of voice,burning on scapula,1.0,1
roughness of voice,boring in joints of fingers,1.0,1
roughness of voice,fingers drawn out of shape,1.0,1
roughness of voice,drawing in shafts of bones,1.0,1
roughness of voice,drawing pain in back,1.0,1
roughness of voice,drawing in joints of fingers,1.0,1
roughness of voice,burning about hips,1.0,1
roughness of voice,stitches in right great toe,1.0,1
roughness of voice,pinching pressing pain in lower spine,1.0,1
roughness of voice,tearing beneath hip,1.0,1
roughness of voice,spine is bent,1.0,1
roughness of voice,toe pain worse when walking,1.0,1
roughness of voice,pressing pain beneath coccyx,1.0,1
roughness of voice,tension in knees on waking,1.0,1
roughness of voice,boring in fingers,1.0,1
roughness of voice,burning in thigh,1.0,1
roughness of voice,rheumatic drawing in back,1.0,1
roughness of voice,stitches in patella on rising,1.0,1
roughness of voice,burning on right shoulder,1.0,1
roughness of voice,toes stinging,1.0,1
roughness of voice,drawing rheumatic pains in right shoulder,1.0,1
roughness of voice,tearing in hip,1.0,1
roughness of voice,voice almost fails at times,1.0,1
roughness of voice,sensation as if tendons of wrist were shortened,1.0,1
roughness of voice,pains at every weather change,1.0,1
roughness of voice,sensation of stiffness in legs after sleep in evening,1.0,1
roughness of voice,prickling stitches in joints of fingers,1.0,1
roughness of voice,cold knees,1.0,1
roughness of voice,shoulder pain worse from motion,1.0,1
roughness of voice,tearing in right hip,1.0,1
roughness of voice,drawing in arm on which he lies at night,1.0,1
roughness of voice,boring pains in limbs,1.0,1
roughness of voice,pressing cramp-like pain in small of back,1.0,1
roughness of voice,stitches in shoulders,1.0,1
roughness of voice,lancinating pain in wrists when grasping,1.0,1
roughness of voice,sensation of plug in back,1.0,1
roughness of voice,sensation as if tendons of hand were shortened,1.0,1
roughness of voice,sprained pain in right hand,1.0,1
roughness of voice,back pain worse on sitting,1.0,1
roughness of voice,drawing in thigh,1.0,1
roughness of voice,lack of strength in knees,1.0,1
roughness of voice,cramp-like pain on outside of left thigh,1.0,1
roughness of voice,knees go to sleep,1.0,1
roughness of voice,pain in joints of hands,1.0,1
roughness of voice,drawing pain from abdomen down into leg,1.0,1
roughness of voice,great depression of vital forces,1.0,1
roughness of voice,arms weary when writing,1.0,1
roughness of voice,burning in fingers,1.0,1
roughness of voice,limbs go to sleep,1.0,1
roughness of voice,burning in bones,1.0,1
roughness of voice,heartburn very persistent,1.0,1
roughness of voice,thigh stitches passing downward when walking,1.0,1
roughness of voice,stiffness of nape,1.0,1
roughness of voice,paralytic weakness of right shoulder,1.0,1
roughness of voice,great inclination to stretch limbs in evening,1.0,1
roughness of voice,stitches in thigh,1.0,1
roughness of voice,limbs are bruised,1.0,1
roughness of voice,severe nosebleed almost daily,1.0,1
roughness of voice,toes red,1.0,1
roughness of voice,hip pain extending to thigh,1.0,1
roughness of voice,painful sensation as if hat band were too tight,1.0,1
roughness of voice,tearing in fingers of left hand,1.0,1
roughness of voice,bone pain painful on pressure,1.0,1
roughness of voice,complementary with kali carb.,1.0,1
tension in knees on waking,burning in limbs,1.0,1
tension in knees on waking,rheumatic drawing from loins to coccyx,1.0,1
tension in knees on waking,drawing tearing in left arm from elbow to hand,1.0,1
tension in knees on waking,hip pain extending to sacrum,1.0,1
tension in knees on waking,prickling stitches in fingers,1.0,1
tension in knees on waking,toes swollen,1.0,1
tension in knees on waking,hand pain worse in windy weather,1.0,1
tension in knees on waking,shoulder pain worse in morning,1.0,1
tension in knees on waking,tension in thigh in morning,1.0,1
tension in knees on waking,pains when beginning to walk,1.0,1
tension in knees on waking,prostrated with rheumatic pains,1.0,1
tension in knees on waking,great hoarseness,1.0,1
tension in knees on waking,drawing in limbs,1.0,1
tension in knees on waking,sense of constriction in thigh,1.0,1
tension in knees on waking,elbow pain worse by touch,1.0,1
tension in knees on waking,tearing in right thigh,1.0,1
tension in knees on waking,burning about scapulae,1.0,1
tension in knees on waking,cold limbs,1.0,1
tension in knees on waking,left thigh pain when lifting it,1.0,1
tension in knees on waking,stitches in ankle joint,1.0,1
tension in knees on waking,paralytic weakness of right arm,1.0,1
tension in knees on waking,cramps in calves at night,1.0,1
tension in knees on waking,stiffness of thigh on standing,1.0,1
tension in knees on waking,tearing in either wrist,1.0,1
tension in knees on waking,pain in scapular region,1.0,1
tension in knees on waking,patients with lost vital forces from fluid loss,1.0,1
tension in knees on waking,back pain worse on stooping,1.0,1
tension in knees on waking,burning in joints of fingers,1.0,1
tension in knees on waking,cramp-like tension in shoulders,1.0,1
tension in knees on waking,drawing pain in nape up into head,1.0,1
tension in knees on waking,unable to sit,1.0,1
tension in knees on waking,cramps in lower leg when walking,1.0,1
tension in knees on waking,limbs go to sleep easily,1.0,1
tension in knees on waking,leg stiffness especially on first beginning to walk,1.0,1
tension in knees on waking,aching along spine,1.0,1
tension in knees on waking,paralytic pains in knees,1.0,1
tension in knees on waking,drawing pain in hip joints,1.0,1
tension in knees on waking,hat band sensation remains after hat removed,1.0,1
tension in knees on waking,bruised pain in elbow joints,1.0,1
tension in knees on waking,stiffness of back,1.0,1
tension in knees on waking,aching pain from loins to coccyx,1.0,1
tension in knees on waking,cramps in soles evenings after lying down,1.0,1
tension in knees on waking,burning on scapula,1.0,1
tension in knees on waking,boring in joints of fingers,1.0,1
tension in knees on waking,fingers drawn out of shape,1.0,1
tension in knees on waking,drawing in shafts of bones,1.0,1
tension in knees on waking,drawing pain in back,1.0,1
tension in knees on waking,drawing in joints of fingers,1.0,1
tension in knees on waking,burning about hips,1.0,1
tension in knees on waking,stitches in right great toe,1.0,1
tension in knees on waking,pinching pressing pain in lower spine,1.0,1
tension in knees on waking,tearing beneath hip,1.0,1
tension in knees on waking,spine is bent,1.0,1
tension in knees on waking,toe pain worse when walking,1.0,1
tension in knees on waking,pressing pain beneath coccyx,1.0,1
tension in knees on waking,roughness of voice,1.0,1
tension in knees on waking,boring in fingers,1.0,1
tension in knees on waking,burning in thigh,1.0,1
tension in knees on waking,rheumatic drawing in back,1.0,1
tension in knees on waking,stitches in patella on rising,1.0,1
tension in knees on waking,burning on right shoulder,1.0,1
tension in knees on waking,toes stinging,1.0,1
tension in knees on waking,drawing rheumatic pains in right shoulder,1.0,1
tension in knees on waking,tearing in hip,1.0,1
tension in knees on waking,voice almost fails at times,1.0,1
tension in knees on waking,sensation as if tendons of wrist were shortened,1.0,1
tension in knees on waking,pains at every weather change,1.0,1
tension in knees on waking,sensation of stiffness in legs after sleep in evening,1.0,1
tension in knees on waking,prickling stitches in joints of fingers,1.0,1
tension in knees on waking,cold knees,1.0,1
tension in knees on waking,shoulder pain worse from motion,1.0,1
tension in knees on waking,tearing in right hip,1.0,1
tension in knees on waking,drawing in arm on which he lies at night,1.0,1
tension in knees on waking,boring pains in limbs,1.0,1
tension in knees on waking,pressing cramp-like pain in small of back,1.0,1
tension in knees on waking,stitches in shoulders,1.0,1
tension in knees on waking,lancinating pain in wrists when grasping,1.0,1
tension in knees on waking,sensation of plug in back,1.0,1
tension in knees on waking,sensation as if tendons of hand were shortened,1.0,1
tension in knees on waking,sprained pain in right hand,1.0,1
tension in knees on waking,back pain worse on sitting,1.0,1
tension in knees on waking,drawing in thigh,1.0,1
tension in knees on waking,lack of strength in knees,1.0,1
tension in knees on waking,cramp-like pain on outside of left thigh,1.0,1
tension in knees on waking,knees go to sleep,1.0,1
tension in knees on waking,pain in joints of hands,1.0,1
tension in knees on waking,drawing pain from abdomen down into leg,1.0,1
tension in knees on waking,great depression of vital forces,1.0,1
tension in knees on waking,arms weary when writing,1.0,1
tension in knees on waking,burning in fingers,1.0,1
tension in knees on waking,limbs go to sleep,1.0,1
tension in knees on waking,burning in bones,1.0,1
tension in knees on waking,heartburn very persistent,1.0,1
tension in knees on waking,thigh stitches passing downward when walking,1.0,1
tension in knees on waking,stiffness of nape,1.0,1
tension in knees on waking,paralytic weakness of right shoulder,1.0,1
tension in knees on waking,great inclination to stretch limbs in evening,1.0,1
tension in knees on waking,stitches in thigh,1.0,1
tension in knees on waking,limbs are bruised,1.0,1
tension in knees on waking,severe nosebleed almost daily,1.0,1
tension in knees on waking,toes red,1.0,1
tension in knees on waking,hip pain extending to thigh,1.0,1
tension in knees on waking,painful sensation as if hat band were too tight,1.0,1
tension in knees on waking,tearing in fingers of left hand,1.0,1
tension in knees on waking,bone pain painful on pressure,1.0,1
tension in knees on waking,complementary with kali carb.,1.0,1
boring in fingers,burning in limbs,1.0,1
boring in fingers,rheumatic drawing from loins to coccyx,1.0,1
boring in fingers,drawing tearing in left arm from elbow to hand,1.0,1
boring in fingers,hip pain extending to sacrum,1.0,1
boring in fingers,prickling stitches in fingers,1.0,1
boring in fingers,toes swollen,1.0,1
boring in fingers,hand pain worse in windy weather,1.0,1
boring in fingers,shoulder pain worse in morning,1.0,1
boring in fingers,tension in thigh in morning,1.0,1
boring in fingers,pains when beginning to walk,1.0,1
boring in fingers,prostrated with rheumatic pains,1.0,1
boring in fingers,great hoarseness,1.0,1
boring in fingers,drawing in limbs,1.0,1
boring in fingers,sense of constriction in thigh,1.0,1
boring in fingers,elbow pain worse by touch,1.0,1
boring in fingers,tearing in right thigh,1.0,1
boring in fingers,burning about scapulae,1.0,1
boring in fingers,cold limbs,1.0,1
boring in fingers,left thigh pain when lifting it,1.0,1
boring in fingers,stitches in ankle joint,1.0,1
boring in fingers,paralytic weakness of right arm,1.0,1
boring in fingers,cramps in calves at night,1.0,1
boring in fingers,stiffness of thigh on standing,1.0,1
boring in fingers,tearing in either wrist,1.0,1
boring in fingers,pain in scapular region,1.0,1
boring in fingers,patients with lost vital forces from fluid loss,1.0,1
boring in fingers,back pain worse on stooping,1.0,1
boring in fingers,burning in joints of fingers,1.0,1
boring in fingers,cramp-like tension in shoulders,1.0,1
boring in fingers,drawing pain in nape up into head,1.0,1
boring in fingers,unable to sit,1.0,1
boring in fingers,cramps in lower leg when walking,1.0,1
boring in fingers,limbs go to sleep easily,1.0,1
boring in fingers,leg stiffness especially on first beginning to walk,1.0,1
boring in fingers,aching along spine,1.0,1
boring in fingers,paralytic pains in knees,1.0,1
boring in fingers,drawing pain in hip joints,1.0,1
boring in fingers,hat band sensation remains after hat removed,1.0,1
boring in fingers,bruised pain in elbow joints,1.0,1
boring in fingers,stiffness of back,1.0,1
boring in fingers,aching pain from loins to coccyx,1.0,1
boring in fingers,cramps in soles evenings after lying down,1.0,1
boring in fingers,burning on scapula,1.0,1
boring in fingers,boring in joints of fingers,1.0,1
boring in fingers,fingers drawn out of shape,1.0,1
boring in fingers,drawing in shafts of bones,1.0,1
boring in fingers,drawing pain in back,1.0,1
boring in fingers,drawing in joints of fingers,1.0,1
boring in fingers,burning about hips,1.0,1
boring in fingers,stitches in right great toe,1.0,1
boring in fingers,pinching pressing pain in lower spine,1.0,1
boring in fingers,tearing beneath hip,1.0,1
boring in fingers,spine is bent,1.0,1
boring in fingers,toe pain worse when walking,1.0,1
boring in fingers,pressing pain beneath coccyx,1.0,1
boring in fingers,roughness of voice,1.0,1
boring in fingers,tension in knees on waking,1.0,1
boring in fingers,burning in thigh,1.0,1
boring in fingers,rheumatic drawing in back,1.0,1
boring in fingers,stitches in patella on rising,1.0,1
boring in fingers,burning on right shoulder,1.0,1
boring in fingers,toes stinging,1.0,1
boring in fingers,drawing rheumatic pains in right shoulder,1.0,1
boring in fingers,tearing in hip,1.0,1
boring in fingers,voice almost fails at times,1.0,1
boring in fingers,sensation as if tendons of wrist were shortened,1.0,1
boring in fingers,pains at every weather change,1.0,1
boring in fingers,sensation of stiffness in legs after sleep in evening,1.0,1
boring in fingers,prickling stitches in joints of fingers,1.0,1
boring in fingers,cold knees,1.0,1
boring in fingers,shoulder pain worse from motion,1.0,1
boring in fingers,tearing in right hip,1.0,1
boring in fingers,drawing in arm on which he lies at night,1.0,1
boring in fingers,boring pains in limbs,1.0,1
boring in fingers,pressing cramp-like pain in small of back,1.0,1
boring in fingers,stitches in shoulders,1.0,1
boring in fingers,lancinating pain in wrists when grasping,1.0,1
boring in fingers,sensation of plug in back,1.0,1
boring in fingers,sensation as if tendons of hand were shortened,1.0,1
boring in fingers,sprained pain in right hand,1.0,1
boring in fingers,back pain worse on sitting,1.0,1
boring in fingers,drawing in thigh,1.0,1
boring in fingers,lack of strength in knees,1.0,1
boring in fingers,cramp-like pain on outside of left thigh,1.0,1
boring in fingers,knees go to sleep,1.0,1
boring in fingers,pain in joints of hands,1.0,1
boring in fingers,drawing pain from abdomen down into leg,1.0,1
boring in fingers,great depression of vital forces,1.0,1
boring in fingers,arms weary when writing,1.0,1
boring in fingers,burning in fingers,1.0,1
boring in fingers,limbs go to sleep,1.0,1
boring in fingers,burning in bones,1.0,1
boring in fingers,heartburn very persistent,1.0,1
boring in fingers,thigh stitches passing downward when walking,1.0,1
boring in fingers,stiffness of nape,1.0,1
boring in fingers,paralytic weakness of right shoulder,1.0,1
boring in fingers,great inclination to stretch limbs in evening,1.0,1
boring in fingers,stitches in thigh,1.0,1
boring in fingers,limbs are bruised,1.0,1
boring in fingers,severe nosebleed almost daily,1.0,1
boring in fingers,toes red,1.0,1
boring in fingers,hip pain extending to thigh,1.0,1
boring in fingers,painful sensation as if hat band were too tight,1.0,1
boring in fingers,tearing in fingers of left hand,1.0,1
boring in fingers,bone pain painful on pressure,1.0,1
boring in fingers,complementary with kali carb.,1.0,1
pain in scapular region,burning in limbs,1.0,1
pain in scapular region,rheumatic drawing from loins to coccyx,1.0,1
pain in scapular region,drawing tearing in left arm from elbow to hand,1.0,1
pain in scapular region,hip pain extending to sacrum,1.0,1
pain in scapular region,prickling stitches in fingers,1.0,1
pain in scapular region,toes swollen,1.0,1
pain in scapular region,hand pain worse in windy weather,1.0,1
pain in scapular region,shoulder pain worse in morning,1.0,1
pain in scapular region,tension in thigh in morning,1.0,1
pain in scapular region,pains when beginning to walk,1.0,1
pain in scapular region,prostrated with rheumatic pains,1.0,1
pain in scapular region,great hoarseness,1.0,1
pain in scapular region,drawing in limbs,1.0,1
pain in scapular region,sense of constriction in thigh,1.0,1
pain in scapular region,elbow pain worse by touch,1.0,1
pain in scapular region,tearing in right thigh,1.0,1
pain in scapular region,burning about scapulae,1.0,1
pain in scapular region,cold limbs,1.0,1
pain in scapular region,left thigh pain when lifting it,1.0,1
pain in scapular region,stitches in ankle joint,1.0,1
pain in scapular region,paralytic weakness of right arm,1.0,1
pain in scapular region,cramps in calves at night,1.0,1
pain in scapular region,stiffness of thigh on standing,1.0,1
pain in scapular region,tearing in either wrist,1.0,1
pain in scapular region,patients with lost vital forces from fluid loss,1.0,1
pain in scapular region,back pain worse on stooping,1.0,1
pain in scapular region,burning in joints of fingers,1.0,1
pain in scapular region,cramp-like tension in shoulders,1.0,1
pain in scapular region,drawing pain in nape up into head,1.0,1
pain in scapular region,unable to sit,1.0,1
pain in scapular region,cramps in lower leg when walking,1.0,1
pain in scapular region,limbs go to sleep easily,1.0,1
pain in scapular region,leg stiffness especially on first beginning to walk,1.0,1
pain in scapular region,aching along spine,1.0,1
pain in scapular region,paralytic pains in knees,1.0,1
pain in scapular region,drawing pain in hip joints,1.0,1
pain in scapular region,hat band sensation remains after hat removed,1.0,1
pain in scapular region,bruised pain in elbow joints,1.0,1
pain in scapular region,stiffness of back,1.0,1
pain in scapular region,aching pain from loins to coccyx,1.0,1
pain in scapular region,cramps in soles evenings after lying down,1.0,1
pain in scapular region,burning on scapula,1.0,1
pain in scapular region,boring in joints of fingers,1.0,1
pain in scapular region,fingers drawn out of shape,1.0,1
pain in scapular region,drawing in shafts of bones,1.0,1
pain in scapular region,drawing pain in back,1.0,1
pain in scapular region,drawing in joints of fingers,1.0,1
pain in scapular region,burning about hips,1.0,1
pain in scapular region,stitches in right great toe,1.0,1
pain in scapular region,pinching pressing pain in lower spine,1.0,1
pain in scapular region,tearing beneath hip,1.0,1
pain in scapular region,spine is bent,1.0,1
pain in scapular region,toe pain worse when walking,1.0,1
pain in scapular region,pressing pain beneath coccyx,1.0,1
pain in scapular region,roughness of voice,1.0,1
pain in scapular region,tension in knees on waking,1.0,1
pain in scapular region,boring in fingers,1.0,1
pain in scapular region,burning in thigh,1.0,1
pain in scapular region,rheumatic drawing in back,1.0,1
pain in scapular region,stitches in patella on rising,1.0,1
pain in scapular region,burning on right shoulder,1.0,1
pain in scapular region,toes stinging,1.0,1
pain in scapular region,drawing rheumatic pains in right shoulder,1.0,1
pain in scapular region,tearing in hip,1.0,1
pain in scapular region,voice almost fails at times,1.0,1
pain in scapular region,sensation as if tendons of wrist were shortened,1.0,1
pain in scapular region,pains at every weather change,1.0,1
pain in scapular region,sensation of stiffness in legs after sleep in evening,1.0,1
pain in scapular region,prickling stitches in joints of fingers,1.0,1
pain in scapular region,cold knees,1.0,1
pain in scapular region,shoulder pain worse from motion,1.0,1
pain in scapular region,tearing in right hip,1.0,1
pain in scapular region,drawing in arm on which he lies at night,1.0,1
pain in scapular region,boring pains in limbs,1.0,1
pain in scapular region,pressing cramp-like pain in small of back,1.0,1
pain in scapular region,stitches in shoulders,1.0,1
pain in scapular region,lancinating pain in wrists when grasping,1.0,1
pain in scapular region,sensation of plug in back,1.0,1
pain in scapular region,sensation as if tendons of hand were shortened,1.0,1
pain in scapular region,sprained pain in right hand,1.0,1
pain in scapular region,back pain worse on sitting,1.0,1
pain in scapular region,drawing in thigh,1.0,1
pain in scapular region,lack of strength in knees,1.0,1
pain in scapular region,cramp-like pain on outside of left thigh,1.0,1
pain in scapular region,knees go to sleep,1.0,1
pain in scapular region,pain in joints of hands,1.0,1
pain in scapular region,drawing pain from abdomen down into leg,1.0,1
pain in scapular region,great depression of vital forces,1.0,1
pain in scapular region,arms weary when writing,1.0,1
pain in scapular region,burning in fingers,1.0,1
pain in scapular region,limbs go to sleep,1.0,1
pain in scapular region,burning in bones,1.0,1
pain in scapular region,heartburn very persistent,1.0,1
pain in scapular region,thigh stitches passing downward when walking,1.0,1
pain in scapular region,stiffness of nape,1.0,1
pain in scapular region,paralytic weakness of right shoulder,1.0,1
pain in scapular region,great inclination to stretch limbs in evening,1.0,1
pain in scapular region,stitches in thigh,1.0,1
pain in scapular region,limbs are bruised,1.0,1
pain in scapular region,severe nosebleed almost daily,1.0,1
pain in scapular region,toes red,1.0,1
pain in scapular region,hip pain extending to thigh,1.0,1
pain in scapular region,painful sensation as if hat band were too tight,1.0,1
pain in scapular region,tearing in fingers of left hand,1.0,1
pain in scapular region,bone pain painful on pressure,1.0,1
pain in scapular region,complementary with kali carb.,1.0,1
sprained pain in right hand,burning in limbs,1.0,1
sprained pain in right hand,rheumatic drawing from loins to coccyx,1.0,1
sprained pain in right hand,drawing tearing in left arm from elbow to hand,1.0,1
sprained pain in right hand,hip pain extending to sacrum,1.0,1
sprained pain in right hand,prickling stitches in fingers,1.0,1
sprained pain in right hand,toes swollen,1.0,1
sprained pain in right hand,hand pain worse in windy weather,1.0,1
sprained pain in right hand,shoulder pain worse in morning,1.0,1
sprained pain in right hand,tension in thigh in morning,1.0,1
sprained pain in right hand,pains when beginning to walk,1.0,1
sprained pain in right hand,prostrated with rheumatic pains,1.0,1
sprained pain in right hand,great hoarseness,1.0,1
sprained pain in right hand,drawing in limbs,1.0,1
sprained pain in right hand,sense of constriction in thigh,1.0,1
sprained pain in right hand,elbow pain worse by touch,1.0,1
sprained pain in right hand,tearing in right thigh,1.0,1
sprained pain in right hand,burning about scapulae,1.0,1
sprained pain in right hand,cold limbs,1.0,1
sprained pain in right hand,left thigh pain when lifting it,1.0,1
sprained pain in right hand,stitches in ankle joint,1.0,1
sprained pain in right hand,paralytic weakness of right arm,1.0,1
sprained pain in right hand,cramps in calves at night,1.0,1
sprained pain in right hand,stiffness of thigh on standing,1.0,1
sprained pain in right hand,tearing in either wrist,1.0,1
sprained pain in right hand,pain in scapular region,1.0,1
sprained pain in right hand,patients with lost vital forces from fluid loss,1.0,1
sprained pain in right hand,back pain worse on stooping,1.0,1
sprained pain in right hand,burning in joints of fingers,1.0,1
sprained pain in right hand,cramp-like tension in shoulders,1.0,1
sprained pain in right hand,drawing pain in nape up into head,1.0,1
sprained pain in right hand,unable to sit,1.0,1
sprained pain in right hand,cramps in lower leg when walking,1.0,1
sprained pain in right hand,limbs go to sleep easily,1.0,1
sprained pain in right hand,leg stiffness especially on first beginning to walk,1.0,1
sprained pain in right hand,aching along spine,1.0,1
sprained pain in right hand,paralytic pains in knees,1.0,1
sprained pain in right hand,drawing pain in hip joints,1.0,1
sprained pain in right hand,hat band sensation remains after hat removed,1.0,1
sprained pain in right hand,bruised pain in elbow joints,1.0,1
sprained pain in right hand,stiffness of back,1.0,1
sprained pain in right hand,aching pain from loins to coccyx,1.0,1
sprained pain in right hand,cramps in soles evenings after lying down,1.0,1
sprained pain in right hand,burning on scapula,1.0,1
sprained pain in right hand,boring in joints of fingers,1.0,1
sprained pain in right hand,fingers drawn out of shape,1.0,1
sprained pain in right hand,drawing in shafts of bones,1.0,1
sprained pain in right hand,drawing pain in back,1.0,1
sprained pain in right hand,drawing in joints of fingers,1.0,1
sprained pain in right hand,burning about hips,1.0,1
sprained pain in right hand,stitches in right great toe,1.0,1
sprained pain in right hand,pinching pressing pain in lower spine,1.0,1
sprained pain in right hand,tearing beneath hip,1.0,1
sprained pain in right hand,spine is bent,1.0,1
sprained pain in right hand,toe pain worse when walking,1.0,1
sprained pain in right hand,pressing pain beneath coccyx,1.0,1
sprained pain in right hand,roughness of voice,1.0,1
sprained pain in right hand,tension in knees on waking,1.0,1
sprained pain in right hand,boring in fingers,1.0,1
sprained pain in right hand,burning in thigh,1.0,1
sprained pain in right hand,rheumatic drawing in back,1.0,1
sprained pain in right hand,stitches in patella on rising,1.0,1
sprained pain in right hand,burning on right shoulder,1.0,1
sprained pain in right hand,toes stinging,1.0,1
sprained pain in right hand,drawing rheumatic pains in right shoulder,1.0,1
sprained pain in right hand,tearing in hip,1.0,1
sprained pain in right hand,voice almost fails at times,1.0,1
sprained pain in right hand,sensation as if tendons of wrist were shortened,1.0,1
sprained pain in right hand,pains at every weather change,1.0,1
sprained pain in right hand,sensation of stiffness in legs after sleep in evening,1.0,1
sprained pain in right hand,prickling stitches in joints of fingers,1.0,1
sprained pain in right hand,cold knees,1.0,1
sprained pain in right hand,shoulder pain worse from motion,1.0,1
sprained pain in right hand,tearing in right hip,1.0,1
sprained pain in right hand,drawing in arm on which he lies at night,1.0,1
sprained pain in right hand,boring pains in limbs,1.0,1
sprained pain in right hand,pressing cramp-like pain in small of back,1.0,1
sprained pain in right hand,stitches in shoulders,1.0,1
sprained pain in right hand,lancinating pain in wrists when grasping,1.0,1
sprained pain in right hand,sensation of plug in back,1.0,1
sprained pain in right hand,sensation as if tendons of hand were shortened,1.0,1
sprained pain in right hand,back pain worse on sitting,1.0,1
sprained pain in right hand,drawing in thigh,1.0,1
sprained pain in right hand,lack of strength in knees,1.0,1
sprained pain in right hand,cramp-like pain on outside of left thigh,1.0,1
sprained pain in right hand,knees go to sleep,1.0,1
sprained pain in right hand,pain in joints of hands,1.0,1
sprained pain in right hand,drawing pain from abdomen down into leg,1.0,1
sprained pain in right hand,great depression of vital forces,1.0,1
sprained pain in right hand,arms weary when writing,1.0,1
sprained pain in right hand,burning in fingers,1.0,1
sprained pain in right hand,limbs go to sleep,1.0,1
sprained pain in right hand,burning in bones,1.0,1
sprained pain in right hand,heartburn very persistent,1.0,1
sprained pain in right hand,thigh stitches passing downward when walking,1.0,1
sprained pain in right hand,stiffness of nape,1.0,1
sprained pain in right hand,paralytic weakness of right shoulder,1.0,1
sprained pain in right hand,great inclination to stretch limbs in evening,1.0,1
sprained pain in right hand,stitches in thigh,1.0,1
sprained pain in right hand,limbs are bruised,1.0,1
sprained pain in right hand,severe nosebleed almost daily,1.0,1
sprained pain in right hand,toes red,1.0,1
sprained pain in right hand,hip pain extending to thigh,1.0,1
sprained pain in right hand,painful sensation as if hat band were too tight,1.0,1
sprained pain in right hand,tearing in fingers of left hand,1.0,1
sprained pain in right hand,bone pain painful on pressure,1.0,1
sprained pain in right hand,complementary with kali carb.,1.0,1
cramp-like tension in shoulders,burning in limbs,1.0,1
cramp-like tension in shoulders,rheumatic drawing from loins to coccyx,1.0,1
cramp-like tension in shoulders,drawing tearing in left arm from elbow to hand,1.0,1
cramp-like tension in shoulders,hip pain extending to sacrum,1.0,1
cramp-like tension in shoulders,prickling stitches in fingers,1.0,1
cramp-like tension in shoulders,toes swollen,1.0,1
cramp-like tension in shoulders,hand pain worse in windy weather,1.0,1
cramp-like tension in shoulders,shoulder pain worse in morning,1.0,1
cramp-like tension in shoulders,tension in thigh in morning,1.0,1
cramp-like tension in shoulders,pains when beginning to walk,1.0,1
cramp-like tension in shoulders,prostrated with rheumatic pains,1.0,1
cramp-like tension in shoulders,great hoarseness,1.0,1
cramp-like tension in shoulders,drawing in limbs,1.0,1
cramp-like tension in shoulders,sense of constriction in thigh,1.0,1
cramp-like tension in shoulders,elbow pain worse by touch,1.0,1
cramp-like tension in shoulders,tearing in right thigh,1.0,1
cramp-like tension in shoulders,burning about scapulae,1.0,1
cramp-like tension in shoulders,cold limbs,1.0,1
cramp-like tension in shoulders,left thigh pain when lifting it,1.0,1
cramp-like tension in shoulders,stitches in ankle joint,1.0,1
cramp-like tension in shoulders,paralytic weakness of right arm,1.0,1
cramp-like tension in shoulders,cramps in calves at night,1.0,1
cramp-like tension in shoulders,stiffness of thigh on standing,1.0,1
cramp-like tension in shoulders,tearing in either wrist,1.0,1
cramp-like tension in shoulders,pain in scapular region,1.0,1
cramp-like tension in shoulders,patients with lost vital forces from fluid loss,1.0,1
cramp-like tension in shoulders,back pain worse on stooping,1.0,1
cramp-like tension in shoulders,burning in joints of fingers,1.0,1
cramp-like tension in shoulders,drawing pain in nape up into head,1.0,1
cramp-like tension in shoulders,unable to sit,1.0,1
cramp-like tension in shoulders,cramps in lower leg when walking,1.0,1
cramp-like tension in shoulders,limbs go to sleep easily,1.0,1
cramp-like tension in shoulders,leg stiffness especially on first beginning to walk,1.0,1
cramp-like tension in shoulders,aching along spine,1.0,1
cramp-like tension in shoulders,paralytic pains in knees,1.0,1
cramp-like tension in shoulders,drawing pain in hip joints,1.0,1
cramp-like tension in shoulders,hat band sensation remains after hat removed,1.0,1
cramp-like tension in shoulders,bruised pain in elbow joints,1.0,1
cramp-like tension in shoulders,stiffness of back,1.0,1
cramp-like tension in shoulders,aching pain from loins to coccyx,1.0,1
cramp-like tension in shoulders,cramps in soles evenings after lying down,1.0,1
cramp-like tension in shoulders,burning on scapula,1.0,1
cramp-like tension in shoulders,boring in joints of fingers,1.0,1
cramp-like tension in shoulders,fingers drawn out of shape,1.0,1
cramp-like tension in shoulders,drawing in shafts of bones,1.0,1
cramp-like tension in shoulders,drawing pain in back,1.0,1
cramp-like tension in shoulders,drawing in joints of fingers,1.0,1
cramp-like tension in shoulders,burning about hips,1.0,1
cramp-like tension in shoulders,stitches in right great toe,1.0,1
cramp-like tension in shoulders,pinching pressing pain in lower spine,1.0,1
cramp-like tension in shoulders,tearing beneath hip,1.0,1
cramp-like tension in shoulders,spine is bent,1.0,1
cramp-like tension in shoulders,toe pain worse when walking,1.0,1
cramp-like tension in shoulders,pressing pain beneath coccyx,1.0,1
cramp-like tension in shoulders,roughness of voice,1.0,1
cramp-like tension in shoulders,tension in knees on waking,1.0,1
cramp-like tension in shoulders,boring in fingers,1.0,1
cramp-like tension in shoulders,burning in thigh,1.0,1
cramp-like tension in shoulders,rheumatic drawing in back,1.0,1
cramp-like tension in shoulders,stitches in patella on rising,1.0,1
